(41996,one-off)
(26324,monthly,7 year (s))
(26863,yearly,32 year (s))
(28995,monthly,3 month (s))
(46719,monthly,5 year (s))
(8989,one-off)
(54925,yearly,2 year (s))
(25128,yearly,17 year (s))
(51857,one-off)
(9868,yearly,20 year (s))
(35526,one-off)
(26070,yearly,35 year (s))
(10117,yearly,24 year (s))
(58353,daily,7day (s))
(48180,daily,1 month (s))
(53346,yearly,4 year (s))
(48657,one-off)
(35296,one-off)
(23136,yearly,30 year (s))
(41989,yearly,21 year (s))
(26601,yearly,30 year (s))
(54929,one-off)
(27639,yearly,5 month (s))
(17789,one-off)
(17040,yearly,19 year (s))
(8593,daily,25day (s))
(4538,monthly,4 year (s))
(23518,yearly,9 year (s))
(9311,monthly,5 month (s))
(57968,monthly,5 year (s))
(30715,yearly,28 year (s))
(7559,daily,1 month (s))
(40487,daily,3day (s))
(52766,monthly,4 year (s))
(32965,monthly,1 year (s))
(25573,daily,1 month (s))
(47364,one-off)
(52146,monthly,1 year (s))
(39057,daily,25day (s))
(14486,daily,8day (s))
(24951,yearly,1 year (s))
(22207,daily,1 month (s))
(17298,yearly,26 year (s))
(36406,yearly,17 year (s))
(20535,daily,9day (s))
(23025,daily,1 month (s))
(8736,one-off)
(27380,yearly,16 year (s))
(37450,yearly,27 year (s))
(7575,daily,1 month (s))
(38460,yearly,20 year (s))
(16053,daily,8day (s))
(5919,one-off)
(39624,yearly,10 year (s))
(10065,monthly,2 year (s))
(50432,yearly,11 year (s))
(16241,one-off)
(41317,monthly,2 year (s))
(30701,yearly,29 year (s))
(37660,monthly,4 year (s))
(18991,yearly,6 year (s))
(35668,yearly,11 year (s))
(23473,daily,3day (s))
(19702,monthly,4 year (s))
(32725,monthly,4 year (s))
(26627,daily,26day (s))
(30825,yearly,26 year (s))
(55938,monthly,4 year (s))
(44151,daily,1 month (s))
(50965,yearly,26 year (s))
(47006,yearly,31 year (s))
(35716,daily,1 month (s))
(39579,daily,1 month (s))
(16832,one-off)
(40642,yearly,40 year (s))
(24113,monthly,6 year (s))
(40134,daily,1 month (s))
(37057,yearly,9 year (s))
(10592,one-off)
(41427,daily,13day (s))
(16772,monthly,1 year (s))
(23245,monthly,5 year (s))
(32976,yearly,15 year (s))
(40122,yearly,6 year (s))
(25253,monthly,4 year (s))
(8193,monthly,4 year (s))
(44135,yearly,11 year (s))
(17319,monthly,4 year (s))
(9756,monthly,3 year (s))
(34805,monthly,6 year (s))
(11025,one-off)
(56735,yearly,11 year (s))
(46102,yearly,25 year (s))
(18651,one-off)
(47386,monthly,3 year (s))
(35159,daily,1 month (s))
(44810,yearly,19 year (s))
(39912,monthly,0 year (s))
(34789,yearly,5 year (s))
(15108,yearly,5 year (s))
(38547,yearly,35 year (s))
(7017,one-off)
(35225,yearly,6 year (s))
(18875,one-off)
(35078,one-off)
(56465,monthly,3 year (s))
(26260,one-off)
(51290,yearly,24 year (s))
(44211,daily,1 month (s))
(5934,yearly,6 year (s))
(28429,yearly,9 year (s))
(41564,monthly,4 year (s))
(30643,one-off)
(36407,monthly,5 year (s))
(26005,daily,23day (s))
(24851,monthly,6 year (s))
(16196,yearly,8 year (s))
(38367,yearly,5 year (s))
(52563,daily,14day (s))
(26056,daily,1 month (s))
(41322,monthly,2 year (s))
(25962,daily,1 month (s))
(30263,monthly,6 year (s))
(12781,monthly,5 year (s))
(31142,yearly,11 year (s))
(35812,monthly,7 year (s))
(27125,monthly,5 year (s))
(19082,daily,1 month (s))
(6321,daily,8day (s))
(47340,monthly,3 year (s))
(49355,yearly,18 year (s))
(17402,daily,14day (s))
(24240,daily,1 month (s))
(22951,one-off)
(6192,one-off)
(3901,daily,15day (s))
(6097,yearly,4 year (s))
(36735,yearly,35 year (s))
(36130,daily,19day (s))
(9727,yearly,16 year (s))
(39465,one-off)
(37672,monthly,7 month (s))
(58282,one-off)
(56282,daily,12day (s))
(38671,one-off)
(37017,monthly,7 year (s))
(27658,monthly,6 month (s))
(19831,monthly,5 year (s))
(7692,one-off)
(37418,yearly,21 year (s))
(4631,monthly,3 year (s))
(10018,yearly,24 year (s))
(27787,daily,1 month (s))
(31466,one-off)
(46264,one-off)
(12132,one-off)
(53455,monthly,4 year (s))
(26105,monthly,6 year (s))
(35800,monthly,2 year (s))
(15543,monthly,1 year (s))
(35827,one-off)
(50554,one-off)
(50423,one-off)
(19820,daily,9day (s))
(5947,monthly,2 year (s))
(4261,daily,20day (s))
(18122,daily,1 month (s))
(20313,monthly,4 year (s))
(32271,one-off)
(51631,daily,1 month (s))
(8413,yearly,20 year (s))
(8336,monthly,1 year (s))
(26500,one-off)
(28752,yearly,15 year (s))
(10137,one-off)
(49875,daily,0 month (s))
(53829,yearly,25 year (s))
(31493,monthly,5 year (s))
(57488,yearly,25 year (s))
(24318,yearly,10 year (s))
(25920,one-off)
(14014,yearly,29 year (s))
(52189,daily,5day (s))
(10768,monthly,1 year (s))
(10442,daily,1 month (s))
(17195,yearly,10 year (s))
(13045,monthly,2 year (s))
(36128,monthly,3 year (s))
(10716,monthly,2 year (s))
(53795,monthly,3 year (s))
(6174,one-off)
(37327,one-off)
(46894,one-off)
(7030,one-off)
(12423,yearly,4 year (s))
(40480,one-off)
(13507,monthly,6 year (s))
(35603,yearly,21 year (s))
(8527,monthly,2 year (s))
(22824,monthly,3 year (s))
(54976,yearly,28 year (s))
(22939,daily,21day (s))
(7678,yearly,5 year (s))
(34739,yearly,2 year (s))
(50667,yearly,14 year (s))
(26810,daily,0 month (s))
(7538,yearly,30 year (s))
(53338,yearly,23 year (s))
(51113,yearly,8 year (s))
(53644,one-off)
(38366,yearly,4 year (s))
(54954,yearly,15 year (s))
(15466,yearly,11 year (s))
(38143,monthly,5 year (s))
(42648,monthly,6 year (s))
(21857,monthly,1 year (s))
(41284,yearly,36 year (s))
(4418,monthly,5 month (s))
(9601,yearly,42 year (s))
(29560,daily,0 month (s))
(25301,one-off)
(37960,yearly,30 year (s))
(39780,yearly,16 year (s))
(55771,yearly,21 year (s))
(4895,monthly,7 year (s))
(48297,monthly,1 year (s))
(42210,monthly,6 month (s))
(31668,yearly,2 year (s))
(22639,yearly,37 year (s))
(25781,yearly,23 year (s))
(55494,yearly,3 year (s))
(19049,yearly,39 year (s))
(35097,monthly,1 year (s))
(21862,one-off)
(39063,daily,13day (s))
(34198,yearly,8 year (s))
(47973,yearly,8 month (s))
(42014,one-off)
(35525,one-off)
(4366,daily,16day (s))
(21597,one-off)
(30410,one-off)
(11340,one-off)
(22360,one-off)
(8796,yearly,16 year (s))
(57967,yearly,20 year (s))
(20758,yearly,24 year (s))
(7766,yearly,9 year (s))
(36147,daily,1 month (s))
(3786,monthly,2 year (s))
(12095,yearly,14 year (s))
(16540,yearly,20 year (s))
(32090,monthly,1 year (s))
(50113,yearly,6 year (s))
(32810,monthly,1 year (s))
(45059,monthly,4 year (s))
(45697,monthly,7 year (s))
(50517,yearly,21 year (s))
(29527,yearly,16 year (s))
(27977,one-off)
(44861,yearly,29 year (s))
(57949,monthly,6 year (s))
(34574,daily,0 month (s))
(48546,yearly,22 year (s))
(13340,daily,22day (s))
(20498,yearly,28 year (s))
(36807,one-off)
(23768,yearly,3 year (s))
(31697,daily,1 month (s))
(41386,daily,1 month (s))
(21353,daily,26day (s))
(53550,one-off)
(19842,yearly,1 year (s))
(12009,daily,24day (s))
(49737,one-off)
(27903,one-off)
(28186,monthly,5 year (s))
(21012,monthly,1 year (s))
(11167,monthly,5 year (s))
(4173,yearly,9 year (s))
(29354,daily,1 month (s))
(6574,yearly,5 year (s))
(36644,yearly,6 year (s))
(43965,monthly,3 year (s))
(28793,monthly,4 year (s))
(46304,yearly,31 year (s))
(8300,yearly,4 year (s))
(52342,yearly,12 year (s))
(30775,one-off)
(26724,yearly,28 year (s))
(53027,one-off)
(25617,yearly,1 year (s))
(49026,yearly,17 year (s))
(42926,monthly,0 year (s))
(43032,yearly,4 year (s))
(36743,monthly,6 year (s))
(55942,daily,1 month (s))
(44943,monthly,6 year (s))
(38624,daily,20day (s))
(39024,monthly,6 year (s))
(19926,yearly,32 year (s))
(55391,daily,8day (s))
(25167,yearly,22 year (s))
(20295,daily,1 month (s))
(38520,one-off)
(8969,daily,15day (s))
(38887,one-off)
(37759,yearly,5 year (s))
(8713,yearly,7 year (s))
(40654,yearly,3 year (s))
(53915,yearly,22 year (s))
(35796,one-off)
(56364,monthly,1 year (s))
(14150,yearly,45 year (s))
(50751,yearly,4 year (s))
(5711,one-off)
(34550,yearly,5 year (s))
(33022,daily,20day (s))
(9252,daily,1 month (s))
(21759,daily,1 month (s))
(21394,daily,1 month (s))
(27799,yearly,12 year (s))
(28064,yearly,44 year (s))
(19162,yearly,23 year (s))
(57737,monthly,4 year (s))
(50835,monthly,5 year (s))
(17431,one-off)
(54092,yearly,16 year (s))
(4082,monthly,2 year (s))
(9268,monthly,5 year (s))
(42930,one-off)
(24323,monthly,4 year (s))
(40456,monthly,4 year (s))
(5354,daily,1 month (s))
(45299,daily,1 month (s))
(28304,yearly,26 year (s))
(31016,one-off)
(9075,yearly,19 year (s))
(35857,yearly,24 year (s))
(32430,yearly,6 year (s))
(35384,daily,1 month (s))
(3327,monthly,1 year (s))
(24332,one-off)
(39893,daily,1 month (s))
(56307,daily,1 month (s))
(11934,yearly,25 year (s))
(5911,monthly,5 year (s))
(36234,yearly,7 year (s))
(22089,one-off)
(32445,yearly,28 year (s))
(53851,one-off)
(6419,daily,15day (s))
(5331,yearly,16 year (s))
(37872,daily,1 month (s))
(4762,daily,1 month (s))
(19766,yearly,3 year (s))
(57345,yearly,15 year (s))
(57750,monthly,0 year (s))
(13234,yearly,17 year (s))
(23121,yearly,24 year (s))
(15975,yearly,25 year (s))
(9856,monthly,6 year (s))
(11512,yearly,26 year (s))
(4898,yearly,15 year (s))
(19098,monthly,2 year (s))
(18103,one-off)
(32804,yearly,28 year (s))
(25549,yearly,5 year (s))
(38670,yearly,28 year (s))
(5682,one-off)
(22573,daily,1 month (s))
(20472,one-off)
(42183,daily,8day (s))
(18582,yearly,15 year (s))
(43968,yearly,29 year (s))
(4605,monthly,6 year (s))
(20566,yearly,36 year (s))
(45209,yearly,8 year (s))
(37608,daily,6day (s))
(31124,monthly,7 year (s))
(14223,one-off)
(55823,one-off)
(33827,yearly,3 year (s))
(13548,yearly,2 year (s))
(7266,yearly,24 year (s))
(44615,monthly,4 year (s))
(23601,monthly,4 year (s))
(40948,yearly,9 year (s))
(14653,one-off)
(7585,one-off)
(49624,daily,6day (s))
(6000,one-off)
(3393,daily,13day (s))
(4517,one-off)
(29559,monthly,6 year (s))
(7211,one-off)
(56985,monthly,5 year (s))
(32897,yearly,5 year (s))
(22788,daily,1 month (s))
(41780,daily,1 month (s))
(47562,daily,5day (s))
(37042,daily,1 month (s))
(42473,monthly,1 year (s))
(28977,one-off)
(53503,daily,1 month (s))
(18166,monthly,6 year (s))
(36512,monthly,4 year (s))
(38490,yearly,29 year (s))
(8243,one-off)
(32841,yearly,19 year (s))
(46571,yearly,28 year (s))
(9198,yearly,4 year (s))
(34775,yearly,31 year (s))
(21324,daily,1 month (s))
(10795,monthly,7 year (s))
(48756,one-off)
(38521,monthly,4 month (s))
(54363,yearly,27 year (s))
(53489,yearly,18 year (s))
(4685,yearly,25 year (s))
(49703,daily,0 month (s))
(42096,yearly,21 year (s))
(46148,yearly,28 year (s))
(32720,one-off)
(13515,daily,1 month (s))
(44226,one-off)
(10290,one-off)
(40339,yearly,12 year (s))
(29816,daily,1 month (s))
(33897,daily,1 month (s))
(26990,monthly,3 year (s))
(19795,one-off)
(32737,monthly,7 year (s))
(15278,yearly,4 year (s))
(43727,one-off)
(17000,monthly,2 year (s))
(26478,yearly,12 year (s))
(31581,daily,8day (s))
(39771,yearly,8 year (s))
(38062,daily,1 month (s))
(39859,monthly,4 year (s))
(4218,yearly,7 year (s))
(49899,yearly,23 year (s))
(15318,monthly,2 year (s))
(25695,daily,1 month (s))
(38884,monthly,2 year (s))
(51583,monthly,5 year (s))
(55570,yearly,16 year (s))
(21269,monthly,5 year (s))
(38047,one-off)
(3585,yearly,30 year (s))
(48424,monthly,4 year (s))
(45633,monthly,2 year (s))
(39298,monthly,8 month (s))
(56212,one-off)
(14229,one-off)
(56288,yearly,19 year (s))
(20578,yearly,42 year (s))
(7925,daily,0 month (s))
(49785,yearly,4 year (s))
(50377,daily,1 month (s))
(19430,monthly,4 year (s))
(31083,daily,1 month (s))
(11454,monthly,5 year (s))
(26825,monthly,6 year (s))
(7428,yearly,19 year (s))
(3394,monthly,7 year (s))
(42616,yearly,7 year (s))
(18479,one-off)
(44296,one-off)
(17273,daily,12day (s))
(26097,monthly,3 year (s))
(40899,monthly,7 year (s))
(35919,yearly,5 year (s))
(41642,yearly,24 year (s))
(43000,monthly,9 month (s))
(4215,daily,1 month (s))
(55174,one-off)
(28141,yearly,8 year (s))
(56915,yearly,5 year (s))
(21902,daily,1 month (s))
(42922,monthly,3 year (s))
(18550,one-off)
(53052,one-off)
(14149,yearly,19 year (s))
(8768,monthly,1 year (s))
(52114,monthly,6 year (s))
(8295,monthly,3 year (s))
(33610,yearly,11 year (s))
(28569,yearly,13 year (s))
(7343,daily,1 month (s))
(52198,monthly,4 year (s))
(6243,yearly,34 year (s))
(34553,monthly,4 year (s))
(28564,one-off)
(4914,yearly,1 year (s))
(34687,monthly,2 year (s))
(30641,yearly,6 year (s))
(31359,monthly,3 year (s))
(42503,daily,3day (s))
(23788,one-off)
(56840,yearly,16 year (s))
(40844,daily,23day (s))
(6182,yearly,24 year (s))
(48437,monthly,6 year (s))
(46392,daily,1 month (s))
(28714,yearly,7 year (s))
(8359,monthly,5 year (s))
(28916,one-off)
(26446,one-off)
(58320,yearly,31 year (s))
(19078,monthly,6 year (s))
(21795,yearly,5 year (s))
(45816,daily,25day (s))
(41951,daily,1 month (s))
(54278,daily,5day (s))
(51677,yearly,28 year (s))
(16256,yearly,4 year (s))
(30140,daily,1 month (s))
(51240,yearly,15 year (s))
(23099,yearly,15 year (s))
(48811,yearly,5 year (s))
(19199,one-off)
(26427,monthly,4 year (s))
(41715,yearly,13 year (s))
(48832,yearly,35 year (s))
(32056,yearly,1 year (s))
(55490,yearly,21 year (s))
(3343,yearly,20 year (s))
(34869,monthly,3 year (s))
(26276,yearly,19 year (s))
(43024,one-off)
(13603,yearly,5 year (s))
(12376,one-off)
(34360,monthly,3 year (s))
(16313,monthly,3 year (s))
(28523,yearly,43 year (s))
(10296,yearly,34 year (s))
(52680,daily,1 month (s))
(41935,daily,1 month (s))
(6666,monthly,4 year (s))
(7684,daily,1 month (s))
(32785,one-off)
(42441,yearly,3 year (s))
(52016,daily,13day (s))
(12550,monthly,2 year (s))
(25321,daily,1 month (s))
(25673,daily,0 month (s))
(8363,one-off)
(19226,one-off)
(24294,monthly,4 year (s))
(40875,one-off)
(24418,monthly,4 year (s))
(15160,monthly,7 year (s))
(16366,daily,26day (s))
(38922,monthly,3 year (s))
(29046,daily,1 month (s))
(26541,yearly,5 year (s))
(45475,one-off)
(22990,one-off)
(7478,yearly,36 year (s))
(47824,yearly,5 year (s))
(56431,one-off)
(56593,yearly,34 year (s))
(7801,yearly,23 year (s))
(33102,yearly,1 year (s))
(5862,daily,0 month (s))
(20965,monthly,6 year (s))
(38753,one-off)
(40392,yearly,21 year (s))
(17150,yearly,10 year (s))
(27823,yearly,5 year (s))
(13750,daily,16day (s))
(24965,monthly,4 year (s))
(43931,daily,1 month (s))
(24733,monthly,3 year (s))
(14835,one-off)
(14961,monthly,1 year (s))
(36938,yearly,13 year (s))
(48245,daily,12day (s))
(21338,yearly,30 year (s))
(18617,yearly,32 year (s))
(27457,yearly,13 year (s))
(16775,monthly,7 year (s))
(12277,monthly,1 year (s))
